id,rt,rt_range:min,rt_range:max,mz,mz_range:min,mz_range:max,height,area,intensity_range:min,intensity_range:max,fragment_scans,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML:feature_state,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML:mz,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML:mz_range:min,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML:mz_range:max,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML:rt,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML:rt_range:min,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML:rt_range:max,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML:height,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML:area,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML:intensity_range:min,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML:intensity_range:max,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML:fwhm,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML:tailing_factor,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML:asymmetry_factor,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML:fragment_scans
1,0.6506,0.624,0.7163,194.9663,194.96614,194.96652,3.234E6,8.317E4,2.635E5,3.234E6,1,DETECTED,194.9663,194.96614,194.96652,0.6506,0.624,0.7163,3.234E6,8.317E4,2.635E5,3.234E6,0.021,3.5675,3.6109,1
2,0.6506,0.624,0.7163,222.96124,222.96097,222.96153,3.826E6,9.787E4,2.071E5,3.826E6,1,DETECTED,222.96124,222.96097,222.96153,0.6506,0.624,0.7163,3.826E6,9.787E4,2.071E5,3.826E6,0.0222,2.1898,15.0415,1
3,0.7163,0.702,1.0018,164.92055,164.92044,164.9207,4.196E6,2.908E5,2.321E5,4.196E6,1,DETECTED,164.92055,164.92044,164.9207,0.7163,0.702,1.0018,4.196E6,2.908E5,2.321E5,4.196E6,0.0303,9.918,7.7414,1
4,0.7163,0.702,15.9875,430.91398,430.91379,430.91678,6.391E6,2.948E5,1.672E5,6.391E6,0,DETECTED,430.91398,430.91379,430.91678,0.7163,0.702,15.9875,6.391E6,2.948E5,1.672E5,6.391E6,15.1754,406.2501,1060.9749,
5,0.7163,0.702,15.9875,498.90112,498.901,498.90173,4.257E6,2.054E5,1.151E5,4.257E6,0,DETECTED,498.90112,498.901,498.90173,0.7163,0.702,15.9875,4.257E6,2.054E5,1.151E5,4.257E6,15.172,534.5735,1060.8933,
6,0.7163,0.702,15.9638,566.88847,566.88306,566.88879,4.326E6,2.059E5,1.469E5,4.326E6,0,DETECTED,566.88847,566.88306,566.88879,0.7163,0.702,15.9638,4.326E6,2.059E5,1.469E5,4.326E6,15.1716,2.264,1061.1875,
7,0.7163,0.702,15.9638,634.87579,634.87555,634.87604,4.946E6,2.33E5,3.007E5,4.946E6,0,DETECTED,634.87579,634.87555,634.87604,0.7163,0.702,15.9638,4.946E6,2.33E5,3.007E5,4.946E6,15.1862,534.1979,1061.4948,
8,0.7163,0.702,15.9638,702.86297,702.86267,702.8634,5.277E6,2.359E5,2.768E5,5.277E6,0,DETECTED,702.86297,702.86267,702.8634,0.7163,0.702,15.9638,5.277E6,2.359E5,2.768E5,5.277E6,15.1725,534.1465,1061.7507,
9,0.7163,0.702,15.9638,770.85048,770.84991,770.85107,4.331E6,1.989E5,2.272E5,4.331E6,0,DETECTED,770.85048,770.84991,770.85107,0.7163,0.702,15.9638,4.331E6,1.989E5,2.272E5,4.331E6,15.1713,530.9176,1066.677,
10,0.7366,0.7163,6.9865,200.17579,200.1756,200.17599,8.527E6,2.255E5,1.194E5,8.527E6,0,DETECTED,200.17579,200.1756,200.17599,0.7366,0.7163,6.9865,8.527E6,2.255E5,1.194E5,8.527E6,6.3966,153.2669,305.7409,
11,0.7366,0.702,11.0449,240.13131,240.12987,240.13423,1.419E6,1.427E5,1.007E5,1.419E6,0,DETECTED,240.13131,240.12987,240.13423,0.7366,0.702,11.0449,1.419E6,1.427E5,1.007E5,1.419E6,9.8161,103.8419,352.3884,
12,0.7366,0.702,11.7101,270.14196,270.14084,270.14508,1.338E6,1.359E5,1.002E5,1.338E6,0,DETECTED,270.14196,270.14084,270.14508,0.7366,0.702,11.7101,1.338E6,1.359E5,1.002E5,1.338E6,8.453,122.168,312.1387,
13,0.7366,0.702,0.9827,363.02265,363.02161,363.02322,8.741E5,7.272E4,1.392E5,8.741E5,0,DETECTED,363.02265,363.02161,363.02322,0.7366,0.702,0.9827,8.741E5,7.272E4,1.392E5,8.741E5,0.0466,4.0655,6.2022,
