id,rt,rt_range:min,rt_range:max,mz,mz_range:min,mz_range:max,height,area,intensity_range:min,intensity_range:max,fragment_scans,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML:feature_state,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML:mz,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML:mz_range:min,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML:mz_range:max,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML:rt,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML:rt_range:min,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML:rt_range:max,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML:height,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML:area,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML:intensity_range:min,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML:intensity_range:max,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML:fwhm,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML:tailing_factor,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML:asymmetry_factor,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML:fragment_scans
1,0.7271,0.6923,0.9969,164.9205,164.92035,164.92067,2.942E6,2.254E5,1.408E5,2.942E6,0,DETECTED,164.9205,164.92035,164.92067,0.7271,0.6923,0.9969,2.942E6,2.254E5,1.408E5,2.942E6,0.134,4.0493,5.9293,
2,0.7271,0.6923,16.0017,430.91348,430.91147,430.91681,2.416E7,6.752E5,1.05E5,2.416E7,0,DETECTED,430.91348,430.91147,430.91681,0.7271,0.6923,16.0017,2.416E7,6.752E5,1.05E5,2.416E7,15.209,421.6902,888.2218,
3,0.7678,0.7456,1.523,206.13883,206.13858,206.13898,7.679E5,1.323E5,1.002E5,7.679E5,0,DETECTED,206.13883,206.13858,206.13898,0.7678,0.7456,1.523,7.679E5,1.323E5,1.002E5,7.679E5,0.4696,17.4733,12.3152,
4,0.7678,0.7271,6.7286,236.14934,236.14742,236.14977,5.861E6,2.854E5,1.023E5,5.861E6,3,DETECTED,236.14934,236.14742,236.14977,0.7678,0.7271,6.7286,5.861E6,2.854E5,1.023E5,5.861E6,0.0364,1.7123,1.5921,3
5,0.7678,0.7271,0.952,335.09503,335.09464,335.09537,1.724E6,1.069E5,1.204E5,1.724E6,0,DETECTED,335.09503,335.09464,335.09537,0.7678,0.7271,0.952,1.724E6,1.069E5,1.204E5,1.724E6,0.1268,8.5979,1.5489,
6,0.7678,0.7087,8.6593,365.10553,365.10233,365.10602,7.375E6,4.218E5,1.002E5,7.375E6,2,DETECTED,365.10553,365.10233,365.10602,0.7678,0.7087,8.6593,7.375E6,4.218E5,1.002E5,7.375E6,0.0362,2.1215,2.5304,2
7,0.7892,0.7678,1.0557,217.06841,217.06833,217.06854,1.064E7,4.016E5,1.537E5,1.064E7,3,DETECTED,217.06841,217.06833,217.06854,0.7892,0.7678,1.0557,1.064E7,4.016E5,1.537E5,1.064E7,0.0308,5.361,6.0718,3
8,0.7892,0.7456,0.952,244.07942,244.07921,244.07968,2.428E6,1.07E5,1.033E5,2.428E6,0,DETECTED,244.07942,244.07921,244.07968,0.7892,0.7456,0.952,2.428E6,1.07E5,1.033E5,2.428E6,0.1236,2.0857,0.7284,
9,0.7892,0.7456,1.5,245.11344,245.11288,245.11456,3.622E7,1.164E6,1.134E5,3.622E7,2,DETECTED,245.11344,245.11288,245.11456,0.7892,0.7456,1.5,3.622E7,1.164E6,1.134E5,3.622E7,0.5083,3.6247,9.7866,2
10,0.7892,0.7456,1.0407,247.07899,247.0788,247.07938,1.172E6,7.626E4,1.144E5,1.172E6,0,DETECTED,247.07899,247.0788,247.07938,0.7892,0.7456,1.0407,1.172E6,7.626E4,1.144E5,1.172E6,0.034,2.4387,6.6949,
11,0.7892,0.7456,10.8266,333.12937,333.12872,333.13251,4.528E6,2.138E5,1.19E5,4.528E6,1,DETECTED,333.12937,333.12872,333.13251,0.7892,0.7456,10.8266,4.528E6,2.138E5,1.19E5,4.528E6,0.0217,3.7924,2.9243,1
12,0.8044,0.7892,8.9405,166.0863,166.08601,166.08656,8.222E5,3.529E5,1.003E5,8.222E5,2,DETECTED,166.0863,166.08601,166.08656,0.8044,0.7892,8.9405,8.222E5,3.529E5,1.003E5,8.222E5,0.0283,268.3077,328.8329,2
13,0.8044,0.7892,8.5178,180.10196,180.10132,180.10286,2.22E6,7.779E5,1.003E5,2.22E6,3,DETECTED,180.10196,180.10132,180.10286,0.8044,0.7892,8.5178,2.22E6,7.779E5,1.003E5,2.22E6,0.4914,36.9963,332.0321,3
14,0.8044,0.7678,1.0407,201.12346,201.12334,201.12364,1.213E6,5.713E4,1.612E5,1.213E6,0,DETECTED,201.12346,201.12334,201.12364,0.8044,0.7678,1.0407,1.213E6,5.713E4,1.612E5,1.213E6,0.2285,3.7354,2.2559,
15,0.8044,0.7892,6.3827,202.18026,202.18005,202.18053,5.096E6,3.238E5,1.035E5,5.096E6,2,DETECTED,202.18026,202.18005,202.18053,0.8044,0.7892,6.3827,5.096E6,3.238E5,1.035E5,5.096E6,0.03,161.3509,15.552,2
16,0.8044,0.7892,8.9605,244.10544,244.10423,244.10579,3.117E6,2.208E5,1.012E5,3.117E6,0,DETECTED,244.10544,244.10423,244.10579,0.8044,0.7892,8.9605,3.117E6,2.208E5,1.012E5,3.117E6,0.03,207.3956,8.8976,
17,0.8044,0.7456,5.848,250.16506,250.16321,250.16519,1.205E7,6.125E5,1.056E5,1.205E7,3,DETECTED,250.16506,250.16321,250.16519,0.8044,0.7456,5.848,1.205E7,6.125E5,1.056E5,1.205E7,0.0227,2.2453,3.943,3
18,0.8044,0.7892,8.8118,259.14436,259.14383,259.14517,5.696E5,4.995E5,1.004E5,5.696E5,0,DETECTED,259.14436,259.14383,259.14517,0.8044,0.7892,8.8118,5.696E5,4.995E5,1.004E5,5.696E5,6.948,264.0711,495.5772,
19,0.8044,0.7087,5.4735,266.15986,266.15744,266.16006,9.639E6,5.664E5,1.027E5,9.639E6,3,DETECTED,266.15986,266.15744,266.16006,0.8044,0.7087,5.4735,9.639E6,5.664E5,1.027E5,9.639E6,0.2212,2.4349,0.8373,3
20,0.8044,0.7678,1.5691,275.12388,275.12332,275.12408,1.967E7,1.221E6,1.068E5,1.967E7,3,DETECTED,275.12388,275.12332,275.12408,0.8044,0.7678,1.5691,1.967E7,1.221E6,1.068E5,1.967E7,0.0236,5.4776,9.0563,3
21,0.8044,0.7892,3.1376,276.12713,276.12506,276.1282,1.884E6,1.935E5,1.036E5,1.884E6,1,DETECTED,276.12713,276.12506,276.1282,0.8044,0.7892,3.1376,1.884E6,1.935E5,1.036E5,1.884E6,0.0352,5.4962,133.881,1
22,0.8044,0.7456,9.4648,294.154,294.15231,294.1568,1.432E6,5.806E5,1.001E5,1.432E6,0,DETECTED,294.154,294.15231,294.1568,0.8044,0.7456,9.4648,1.432E6,5.806E5,1.001E5,1.432E6,0.0237,71.3405,23.4147,
23,0.8044,0.7456,9.3839,296.13489,296.13174,296.13708,2.434E6,5.1E5,1.005E5,2.434E6,4,DETECTED,296.13489,296.13174,296.13708,0.8044,0.7456,9.3839,2.434E6,5.1E5,1.005E5,2.434E6,0.5274,35.8484,15.4997,4
24,0.8044,0.7892,4.8545,301.13947,301.1384,301.14011,7.67E5,2.106E5,1.014E5,7.67E5,0,DETECTED,301.13947,301.1384,301.14011,0.8044,0.7892,4.8545,7.67E5,2.106E5,1.014E5,7.67E5,0.0281,133.8144,6.9828,
25,0.8044,0.7892,4.6299,303.15508,303.15427,303.15552,1.861E6,2.75E5,1.004E5,1.861E6,1,DETECTED,303.15508,303.15427,303.15552,0.8044,0.7892,4.6299,1.861E6,2.75E5,1.004E5,1.861E6,0.0352,104.4029,5.7707,1
26,0.8044,0.7456,1.0557,305.08447,305.0842,305.08502,1.468E6,1.499E5,1.139E5,1.468E6,2,DETECTED,305.08447,305.0842,305.08502,0.8044,0.7456,1.0557,1.468E6,1.499E5,1.139E5,1.468E6,0.0521,2.5334,3.1878,2
27,0.8044,0.7892,7.3799,306.1543,306.15274,306.15555,8.086E5,4.924E5,1.003E5,8.086E5,0,DETECTED,306.1543,306.15274,306.15555,0.8044,0.7892,7.3799,8.086E5,4.924E5,1.003E5,8.086E5,0.3943,216.9402,5.4584,
28,0.8044,0.7456,9.7106,307.15074,307.14899,307.15298,1.929E6,2.049E5,1.054E5,1.929E6,5,DETECTED,307.15074,307.14899,307.15298,0.8044,0.7456,9.7106,1.929E6,2.049E5,1.054E5,1.929E6,8.909,2.4284,5.8548,5
29,0.8044,0.7456,7.534,310.1498,310.14767,310.15234,4.703E6,1.127E6,1.003E5,4.703E6,4,DETECTED,310.1498,310.14767,310.15234,0.8044,0.7456,7.534,4.703E6,1.127E6,1.003E5,4.703E6,5.0708,61.3766,5.4726,4
30,0.8044,0.7678,11.0507,321.16707,321.1647,321.16888,1.952E6,4.922E5,1.136E5,1.952E6,8,DETECTED,321.16707,321.1647,321.16888,0.8044,0.7678,11.0507,1.952E6,4.922E5,1.136E5,1.952E6,0.0214,5.0281,45.6845,8
31,0.8044,0.7892,11.5605,331.15039,331.14868,331.15323,1.934E6,3.028E5,1.052E5,1.934E6,1,DETECTED,331.15039,331.14868,331.15323,0.8044,0.7892,11.5605,1.934E6,3.028E5,1.052E5,1.934E6,0.4389,139.1273,301.9896,1
32,0.8044,0.7456,10.7676,338.18113,338.17902,338.18292,3.205E6,8.28E5,1.03E5,3.205E6,7,DETECTED,338.18113,338.17902,338.18292,0.8044,0.7456,10.7676,3.205E6,8.28E5,1.03E5,3.205E6,0.0257,23.459,49.098,7
33,0.8044,0.7892,7.3667,344.15294,344.14987,344.15588,7.12E5,1.395E5,1.065E5,7.12E5,0,DETECTED,344.15294,344.14987,344.15588,0.8044,0.7892,7.3667,7.12E5,1.395E5,1.065E5,7.12E5,0.5373,216.5048,355.0153,
34,0.8044,0.7678,1.6161,347.096,347.09494,347.09702,6.772E5,1.484E5,1.101E5,6.772E5,0,DETECTED,347.096,347.09494,347.09702,0.8044,0.7678,1.6161,6.772E5,1.484E5,1.101E5,6.772E5,0.0966,11.6104,3.9783,
35,0.8044,0.7456,8.093,349.11084,349.10776,349.11264,3.74E6,3.208E5,1.009E5,3.74E6,1,DETECTED,349.11084,349.10776,349.11264,0.8044,0.7456,8.093,3.74E6,3.208E5,1.009E5,3.74E6,0.2357,3.4886,3.475,1
36,0.8044,0.7892,7.7658,350.14419,350.1427,350.14728,6.998E5,3.753E5,1.003E5,6.998E5,0,DETECTED,350.14419,350.1427,350.14728,0.8044,0.7892,7.7658,6.998E5,3.753E5,1.003E5,6.998E5,0.3919,229.6426,318.691,
37,0.8044,0.7678,10.7867,352.19691,352.19522,352.19815,2.369E6,8.534E5,1.015E5,2.369E6,14,DETECTED,352.19691,352.19522,352.19815,0.8044,0.7678,10.7867,2.369E6,8.534E5,1.015E5,2.369E6,0.2423,33.6849,125.3544,14
38,0.8044,0.7678,10.0521,363.12669,363.12335,363.129,3.045E6,4.974E5,1.051E5,3.045E6,0,DETECTED,363.12669,363.12335,363.129,0.8044,0.7678,10.0521,3.045E6,4.974E5,1.051E5,3.045E6,0.2245,220.6703,36.1707,
39,0.8044,0.7892,7.459,366.21268,366.21118,366.21445,8.772E5,5.514E5,1.006E5,8.772E5,4,DETECTED,366.21268,366.21118,366.21445,0.8044,0.7892,7.459,8.772E5,5.514E5,1.006E5,8.772E5,0.5695,219.5427,239.6481,4
40,0.8044,0.7892,7.3381,377.10623,377.1026,377.10791,1.576E6,1.728E5,1.011E5,1.576E6,1,DETECTED,377.10623,377.1026,377.10791,0.8044,0.7892,7.3381,1.576E6,1.728E5,1.011E5,1.576E6,0.3157,215.0072,34.0038,1
