id,rt,rt_range:min,rt_range:max,mz,mz_range:min,mz_range:max,height,area,intensity_range:min,intensity_range:max,fragment_scans,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:feature_state,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:mz,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:mz_range:min,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:mz_range:max,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:rt,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:rt_range:min,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:rt_range:max,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:height,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:area,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:intensity_range:min,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:intensity_range:max,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:fwhm,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:tailing_factor,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:asymmetry_factor,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:fragment_scans
1,0.7155,0.6998,1.0117,164.92059,164.92046,164.92087,5.452E6,2.491E5,1.12E5,5.452E6,1,DETECTED,164.92059,164.92046,164.92087,0.7155,0.6998,1.0117,5.452E6,2.491E5,1.12E5,5.452E6,0.0277,6.9356,7.3745,1
2,0.7155,0.644,0.7555,272.94399,272.94177,272.94446,3.802E6,8.865E4,2.26E5,3.802E6,1,DETECTED,272.94399,272.94177,272.94446,0.7155,0.644,0.7555,3.802E6,8.865E4,2.26E5,3.802E6,1.333,0.7455,0.1382,1
3,0.7155,0.6998,16.002,430.91387,430.91351,430.91702,1.039E7,4.793E5,1.022E5,1.039E7,1,DETECTED,430.91387,430.91351,430.91702,0.7155,0.6998,16.002,1.039E7,4.793E5,1.022E5,1.039E7,0.0324,484.4135,962.5518,1
4,0.7155,0.6998,15.98,498.90103,498.9007,498.9014,7.229E6,3.303E5,1.509E5,7.229E6,0,DETECTED,498.90103,498.9007,498.9014,0.7155,0.6998,15.98,7.229E6,3.303E5,1.509E5,7.229E6,0.0311,484.4227,962.5515,
5,0.7155,0.6998,15.98,566.88849,566.88812,566.88898,7.466E6,3.277E5,1.277E5,7.466E6,0,DETECTED,566.88849,566.88812,566.88898,0.7155,0.6998,15.98,7.466E6,3.277E5,1.277E5,7.466E6,0.03,484.4005,962.8447,
6,0.7155,0.6998,15.98,634.87565,634.87524,634.87616,9.124E6,3.638E5,1.413E5,9.124E6,0,DETECTED,634.87565,634.87524,634.87616,0.7155,0.6998,15.98,9.124E6,3.638E5,1.413E5,9.124E6,15.1817,484.3272,963.0641,
7,0.7155,0.6998,15.98,702.86291,702.86243,702.86359,9.844E6,3.725E5,1.14E5,9.844E6,0,DETECTED,702.86291,702.86243,702.86359,0.7155,0.6998,15.98,9.844E6,3.725E5,1.14E5,9.844E6,15.1842,484.2909,966.7048,
8,0.7155,0.6998,15.9596,770.8504,770.84961,770.85077,8.087E6,3.066E5,3.595E5,8.087E6,0,DETECTED,770.8504,770.84961,770.85077,0.7155,0.6998,15.9596,8.087E6,3.066E5,3.595E5,8.087E6,15.1808,484.3205,966.5837,
9,0.7155,0.6998,15.9596,838.83793,838.83704,838.8385,6.687E6,2.568E5,2.888E5,6.687E6,0,DETECTED,838.83793,838.83704,838.8385,0.7155,0.6998,15.9596,6.687E6,2.568E5,2.888E5,6.687E6,15.1778,481.6653,966.6987,
10,0.7155,0.6998,15.9596,906.82523,906.82416,906.82672,4.921E6,2.005E5,2.375E5,4.921E6,0,DETECTED,906.82523,906.82416,906.82672,0.7155,0.6998,15.9596,4.921E6,2.005E5,2.375E5,4.921E6,15.1733,484.3578,1.1039,
