id,rt,rt_range:min,rt_range:max,mz,mz_range:min,mz_range:max,height,area,intensity_range:min,intensity_range:max,fragment_scans,datafile:DOM_Interlab-LCMS_Lab15_PPL_Pos_MS2.mzML:feature_state,datafile:DOM_Interlab-LCMS_Lab15_PPL_Pos_MS2.mzML:mz,datafile:DOM_Interlab-LCMS_Lab15_PPL_Pos_MS2.mzML:mz_range:min,datafile:DOM_Interlab-LCMS_Lab15_PPL_Pos_MS2.mzML:mz_range:max,datafile:DOM_Interlab-LCMS_Lab15_PPL_Pos_MS2.mzML:rt,datafile:DOM_Interlab-LCMS_Lab15_PPL_Pos_MS2.mzML:rt_range:min,datafile:DOM_Interlab-LCMS_Lab15_PPL_Pos_MS2.mzML:rt_range:max,datafile:DOM_Interlab-LCMS_Lab15_PPL_Pos_MS2.mzML:height,datafile:DOM_Interlab-LCMS_Lab15_PPL_Pos_MS2.mzML:area,datafile:DOM_Interlab-LCMS_Lab15_PPL_Pos_MS2.mzML:intensity_range:min,datafile:DOM_Interlab-LCMS_Lab15_PPL_Pos_MS2.mzML:intensity_range:max,datafile:DOM_Interlab-LCMS_Lab15_PPL_Pos_MS2.mzML:fwhm,datafile:DOM_Interlab-LCMS_Lab15_PPL_Pos_MS2.mzML:tailing_factor,datafile:DOM_Interlab-LCMS_Lab15_PPL_Pos_MS2.mzML:asymmetry_factor,datafile:DOM_Interlab-LCMS_Lab15_PPL_Pos_MS2.mzML:fragment_scans
1,0.0266,0.0131,0.0913,305.89956,305.89944,305.89972,6.766E5,2.446E4,1.917E5,6.766E5,1,DETECTED,305.89956,305.89944,305.89972,0.0266,0.0131,0.0913,6.766E5,2.446E4,1.917E5,6.766E5,0.0329,2.9074,4.8148,1
2,0.0266,0.0131,16.1693,328.91548,328.9151,328.91571,9.717E5,5.299E4,1.078E5,9.717E5,1,DETECTED,328.91548,328.9151,328.91571,0.0266,0.0131,16.1693,9.717E5,5.299E4,1.078E5,9.717E5,0.0352,601.1843,4.9994,1
3,0.7277,0.6795,15.9629,226.95116,226.95107,226.95137,3.769E6,2.348E5,2.24E5,3.769E6,0,DETECTED,226.95116,226.95107,226.95137,0.7277,0.6795,15.9629,3.769E6,2.348E5,2.24E5,3.769E6,15.8623,158.1518,314.8822,
4,0.7277,0.6795,15.9853,430.91357,430.9133,430.91397,1.028E7,6.94E5,1.933E5,1.028E7,0,DETECTED,430.91357,430.9133,430.91397,0.7277,0.6795,15.9853,1.028E7,6.94E5,1.933E5,1.028E7,15.3148,158.1497,315.0503,
5,0.7277,0.6795,15.9853,498.90074,498.90036,498.90121,7.64E6,5.028E5,1.037E5,7.64E6,0,DETECTED,498.90074,498.90036,498.90121,0.7277,0.6795,15.9853,7.64E6,5.028E5,1.037E5,7.64E6,15.2142,158.1311,315.0445,
6,0.7277,0.6795,15.9853,566.88815,566.88782,566.88867,9.401E6,5.735E5,1.105E5,9.401E6,0,DETECTED,566.88815,566.88782,566.88867,0.7277,0.6795,15.9853,9.401E6,5.735E5,1.105E5,9.401E6,15.2351,158.0974,314.8701,
7,0.7277,0.6795,15.9853,634.87536,634.875,634.87579,1.259E7,7.258E5,1.067E5,1.259E7,0,DETECTED,634.87536,634.875,634.87579,0.7277,0.6795,15.9853,1.259E7,7.258E5,1.067E5,1.259E7,15.2375,158.0656,314.7861,
8,0.7277,0.6795,15.9629,702.86255,702.8623,702.86304,1.441E7,8.037E5,3.94E5,1.441E7,1,DETECTED,702.86255,702.8623,702.86304,0.7277,0.6795,15.9629,1.441E7,8.037E5,3.94E5,1.441E7,15.2596,158.0183,313.4194,1
9,0.7277,0.6795,15.9629,770.84987,770.84949,770.85034,1.348E7,7.321E5,3.298E5,1.348E7,1,DETECTED,770.84987,770.84949,770.85034,0.7277,0.6795,15.9629,1.348E7,7.321E5,3.298E5,1.348E7,15.2549,157.9443,313.4943,1
10,0.7277,0.6795,15.9629,838.83708,838.83679,838.83789,1.215E7,6.44E5,2.408E5,1.215E7,0,DETECTED,838.83708,838.83679,838.83789,0.7277,0.6795,15.9629,1.215E7,6.44E5,2.408E5,1.215E7,15.2376,157.9283,313.5335,
