formulaRank,molecularFormula,adduct,precursorFormula,NPC#pathway,NPC#pathway Probability,NPC#superclass,NPC#superclass Probability,NPC#class,NPC#class Probability,ClassyFire#superclass,ClassyFire#superclass probability,ClassyFire#class,ClassyFire#class Probability,ClassyFire#subclass,ClassyFire#subclass Probability,ClassyFire#level 5,ClassyFire#level 5 Probability,ClassyFire#most specific class,ClassyFire#most specific class Probability,ClassyFire#all classifications,ionMass,retentionTimeInSeconds,retentionTimeInMinutes,formulaId,alignedFeatureId,mappingFeatureId,overallFeatureQuality
1,C2H4BNO4,[M + K]+,C2H4BKNO4+,Fatty acids,0,650,Fatty Acids and Conjugates,0,720,Halogenated fatty acids,0,857,Organic acids and derivatives,0,959,Boronic acid derivatives,0,501,,,,,Boronic acid derivatives,0,501,Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Organometallic compounds; Boronic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Organometalloid compounds; Carbonyl compounds; Organic salts; Organic oxides; Organic metalloid salts; Organic metal salts; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,154,990,1,0,022,685521757720938232,685521473028343024,2,
1,C2H3NO6S,[M + H]+,C2H4NO6S+,Amino acids and Peptides,0,508,Small peptides,0,343,Halogenated fatty acids,0,402,Organosulfur compounds,0,812,Sulfonyls,0,579,,,,,Sulfonyls,0,579,Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Sulfonyls; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,169,977,1,0,023,685521749659484610,685521472889930987,1,
1,C4H3F3O3,[M + K]+,C4H3F3KO3+,Fatty acids,0,395,Fatty Acids and Conjugates,0,507,Halogenated fatty acids,0,540,Organic acids and derivatives,0,958,Carboxylic acids and derivatives,0,942,Carboxylic acids,0,823,,,Carboxylic acids,0,823,Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Alkyl fluorides; Monocarboxylic acids and derivatives; Carboxylic acids; Organofluorides; Alkyl halides; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,194,966,39,0,650,685521776188461617,685521473196115194,4,
1,C5H3F3O4,[M + K]+,C5H3F3KO4+,Shikimates and Phenylpropanoids,0,168,Phenolic acids (C6-C1),0,119,Simple phenolic acids,0,143,Organoheterocyclic compounds,0,758,Furans,0,491,Furoic acid and derivatives,0,679,Furoic acids,0,673,Furoic acids,0,673,Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Alkyl fluorides; Carboxylic acids; Furoic acids; Organofluorides; Aryl halides; Alkyl halides; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Furoic acid and derivatives; Furan-3-carboxylic acid and derivatives; Furan-3-carboxylic acids; Chemical entities,222,961,39,0,650,685521751718888107,685521473263224063,5,
1,C8H4ClN3O,[M + Na]+,C8H4ClN3NaO+,Alkaloids,0,802,Proline alkaloids,0,064,Pyrrole alkaloids,0,065,Organohalogen compounds,1,000,Aryl halides,0,994,Aryl chlorides,0,992,,,Aryl chlorides,0,992,Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Pyridines and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Azoles; Aryl chlorides; Diazines; Organochlorides; Aryl halides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,215,993,40,0,671,685521748250198199,685521473334527236,6,
1,C11H16O11,[M + K]+,C11H16KO11+,Carbohydrates,0,996,Saccharides,0,991,Monosaccharides,0,774,Organic oxygen compounds,1,000,Organooxygen compounds,1,000,Carbohydrates and carbohydrate conjugates,0,977,Monosaccharides,0,791,Monosaccharides,0,791,Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acid esters; Monosaccharides; Secondary alcohols; Carbonyl compounds; Oxanes; Polyols; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,363,033,44,0,735,685521782601553068,685521473481327886,11,
1,C10H14N4O7,[M + K]+,C10H14KN4O7+,Carbohydrates,0,992,Nucleosides,0,986,Pyrimidine nucleosides,0,747,"Nucleosides, nucleotides, and analogues",0,660,Imidazole ribonucleosides and ribonucleotides,0,551,,,,,Imidazole ribonucleosides and ribonucleotides,0,551,"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Nucleosides, nucleotides, and analogues; Organooxygen compounds; Azoles; Pentoses; Monosaccharides; Secondary alcohols; Imidazole ribonucleosides and ribonucleotides; Glycosyl compounds; Glycosylamines; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",341,051,45,0,754,685521762892515779,685521473540048147,13,
1,C13H18N4O7,[M + Na]+,C13H18N4NaO7+,Carbohydrates,0,998,Nucleosides,0,889,Pyrimidine nucleosides,0,572,Organic oxygen compounds,1,000,Organooxygen compounds,0,999,Carbohydrates and carbohydrate conjugates,0,984,Glycosyl compounds,0,945,Glycosylamines,0,923,"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrimidines and pyrimidine derivatives; Alcohols and polyols; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Nucleosides, nucleotides, and analogues; Pyrimidones; Organooxygen compounds; Diazines; Pentoses; Monosaccharides; Secondary alcohols; Glycosyl compounds; Glycosylamines; Amines; Tetrahydrofurans; Vinylogous amides; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",365,106,46,0,764,685521771595698126,685521473657488669,17,
1,C10H21NO6,[M + H]+,C10H22NO6+,Amino acids and Peptides,0,765,Aminosugars and aminoglycosides,0,555,Aminosugars,0,353,Organic oxygen compounds,1,000,Organooxygen compounds,0,999,Carbohydrates and carbohydrate conjugates,0,588,Monosaccharides,0,595,Monosaccharides,0,595,Organic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Monosaccharides; Secondary alcohols; Carbonyl compounds; Amines; Alkanolamines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,252,144,46,0,765,685521753908315090,685521473602962712,15,
1,C9H18O8,[M + Na]+,C9H18NaO8+,Carbohydrates,0,958,Saccharides,0,946,Disaccharides,0,726,Lipids and lipid-like molecules,0,641,Fatty Acyls,0,664,Fatty acyl glycosides,0,542,Fatty acyl glycosides of mono- and disaccharides,0,548,Fatty acyl glycosides of mono- and disaccharides,0,548,Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Fatty acyl glycosides; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Fatty acyl glycosides of mono- and disaccharides; Fatty Acyls; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,277,090,46,0,773,685521749546238372,685521474009810235,25,
1,C10H21NO5,[M + H]+,C10H22NO5+,Fatty acids,0,968,Fatty esters,0,969,Fatty acyl carnitines,0,984,Lipids and lipid-like molecules,0,667,Fatty Acyls,0,669,,,,,Fatty Acyls,0,669,"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Quaternary ammonium salts; Carboxylic acids; Secondary alcohols; Carbonyl compounds; 1,2-aminoalcohols; Amines; Alkanolamines; Organic cations; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",236,149,47,0,775,685521768160562613,685521473720403234,18,
1,C12H13F3N4O4,[M + H]+,C12H14F3N4O4+,Alkaloids,0,666,Ornithine alkaloids,0,063,Pyrimidine nucleosides,0,042,Organoheterocyclic compounds,0,941,Diazines,0,606,Pyrimidines and pyrimidine derivatives,0,629,,,Pyrimidines and pyrimidine derivatives,0,629,Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Alkyl fluorides; Carboxylic acid derivatives; Diazines; Organofluorides; Carbonyl compounds; Alkyl halides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,335,095,47,0,779,685521763584576051,685521473779123495,20,
1,C13H20N2O8,[M + H]+,C13H21N2O8+,Amino acids and Peptides,0,638,Mycosporine derivatives,0,421,Mycosporine and Mycosporine-like amino acids,0,426,Organic acids and derivatives,0,841,Carboxylic acids and derivatives,0,791,Carboxylic acid derivatives,0,587,,,Carboxylic acid derivatives,0,587,"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Carbonyl compounds; Organic 1,3-dipolar compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",333,130,47,0,783,685521753530827681,685521473955284278,24,
