row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep1.mzML Peak area,DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep2.mzML Peak area,DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep3.mzML Peak area,DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep1.mzML Peak area,DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML Peak area,DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep1.mzML Peak area,DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML Peak area,DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep1.mzML Peak area,DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep2.mzML Peak area,DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML Peak area,DOM_Interlab-LCMS_Lab15_PPL_Pos_MS2.mzML Peak area,
1,169.9772743699431,0.02323718,,,,,,,,,,,18302.469,18444.898,18160.818,34562.61,20002.645,46160.66,17872.89,19672.31,17420.879,18464.896,40759.41,
2,154.9901867126416,0.02323718,,,,,,,,,,,412579.78,270903.9,310947.94,319629.06,253410.9,433776.06,335254.03,423381.06,249368.17,243491.22,755930.1,
3,328.9152654017267,0.023237176,,,,,,,,,,,7757.691,7329.7666,7314.108,10430.1045,8906.432,12704.201,7315.0957,8826.486,6168.559,5638.5977,35574.176,
4,194.96635666452292,0.65485597,,,,,,,,,,,22227.504,46272.57,30437.477,94312.42,83173.95,3121.7642,3900.073,0,3798.129,4860.117,0,
5,222.9612942687204,0.65233505,,,,,,,,,,,28674.752,56840.645,32120.145,113002.43,97870.555,2921.9434,4221.6094,0,4055.771,5246.078,0,
6,215.9935157752716,0.66988176,,,,,,,,,,,502891.88,369983.34,503719.12,651284.44,657654.06,157148.69,149567.19,201575.38,211760.81,205057.81,4363.649,
7,272.9441998180361,0.7181882,,,,,,,,,,,69148.59,72034.17,70343.586,59617.402,62242.65,109805.27,82030.766,92821.83,63228.86,88652.9,109083.05,
11,363.03327106057475,0.7377507,,,,,,,,,,,632152.0,563689.1,453457.94,1917233.9,1977880.4,130738.06,149974.92,22561.406,23626.686,15369.04,0,
13,341.05159037066346,0.75367475,,,,,,,,,,,151223.22,147002.4,129027.664,591688.06,605325.1,32020.242,41431.113,0,6298.602,2790.0718,0,
15,252.14440337931052,0.7706083,,,,,,,,,,,97661.95,79161.27,84967.375,145849.81,144602.81,44692.836,64875.996,28555.223,36957.637,30618.744,0,
17,365.1058649996593,0.7706783,,,,,,,,,,,446610.78,409898.38,386114.47,263095.53,284645.38,252796.12,283852.34,235961.45,287329.12,256616.4,4976.2715,
18,236.1494745315566,0.7748846,,,,,,,,,,,272144.75,217758.25,241068.77,288467.8,262816.16,151177.03,231420.16,112998.414,151047.28,123295.42,0,
20,335.0951573873557,0.7791772,,,,,,,,,,,102266.445,84525.67,96000.67,147836.56,94525.234,114675.08,73911.92,71941.99,85530.945,76661.84,0,
22,527.158877137779,0.78831893,,,,,,,,,,,122997.97,115995.195,109582.19,145060.42,98456.36,78769.89,81492.08,75317.9,83662.56,79822.16,0,
23,245.11353042881723,0.78302616,,,,,,,,,,,815236.75,761227.0,557842.6,571474.2,465399.88,928299.1,842401.56,754552.6,706346.4,735175.44,0,
24,333.1294921916715,0.7813113,,,,,,,,,,,146501.36,188240.42,162847.75,70131.27,97064.97,193431.16,145988.72,134705.39,151300.17,208039.95,0,
25,277.08974251746827,0.7783363,,,,,,,,,,,501037.53,413874.6,186352.97,4955139.0,4823366.0,79228.375,95598.81,35501.19,46933.293,37850.805,20595.467,
29,206.1388809907563,0.7920672,,,,,,,,,,,86578.58,74458.63,91978.51,84529.766,98132.92,48879.707,50868.715,57965.652,57216.707,56168.77,0,
30,689.2110440925593,0.79215795,,,,,,,,,,,47967.938,59839.85,54536.293,41779.574,38241.293,18435.984,25947.748,20864.3,23206.566,21983.969,0,
32,217.06852599891508,0.7928737,,,,,,,,,,,522616.44,483555.3,585680.44,270377.84,303290.66,256170.34,268730.66,204312.53,275743.75,206319.38,0,
38,310.14990343589545,0.8009095,,,,,,,,,,,277521.7,261334.62,282641.53,264962.97,299031.53,159166.77,208561.28,168878.1,187991.88,196730.27,0,
39,379.1215485538543,0.8009095,,,,,,,,,,,631797.3,635275.7,692972.0,462521.62,456708.4,299703.4,390585.3,266053.94,346068.1,354054.03,0,
40,280.1393661291157,0.8020555,,,,,,,,,,,95588.43,76622.28,102274.13,110139.14,98599.625,72386.89,70395.305,73263.48,55168.6,63651.145,0,
42,307.1500532025349,0.8020555,,,,,,,,,,,73192.54,107721.21,114845.33,98323.97,60896.6,57328.953,77724.16,66774.64,64811.527,90885.24,0,
